epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.8584362268447876,0.9382506012916565,0.8092666864395142,1e-05,0.739393949508667,0.8114815354347229,1.0186550617218018
1,0.8765432238578796,0.9428759217262268,0.7751158475875854,1e-05,0.7575757503509521,0.8112591505050659,0.9866102933883667
2,0.8880658149719238,0.9602856040000916,0.7164592742919922,1e-05,0.7454545497894287,0.8087407350540161,0.9873068332672119
3,0.9004115462303162,0.9692895412445068,0.6775895953178406,1e-05,0.7333333492279053,0.8042962551116943,0.9931541681289673
4,0.8987654447555542,0.9640659093856812,0.671276330947876,1e-05,0.7333333492279053,0.8124444484710693,0.9709754586219788
5,0.9193415641784668,0.976594090461731,0.6235464811325073,1e-05,0.739393949508667,0.8027406930923462,0.9553910493850708
6,0.9218106865882874,0.97383713722229,0.6107678413391113,1e-05,0.7333333492279053,0.8025925755500793,0.9572340250015259
7,0.9415637850761414,0.9822510480880737,0.5739403367042542,1e-05,0.739393949508667,0.7989628911018372,0.9596376419067383
8,0.9316872358322144,0.9819361567497253,0.5622411966323853,1e-05,0.7333333492279053,0.80348140001297,0.9585314989089966
9,0.9465020298957825,0.9876790642738342,0.5334963798522949,2e-06,0.7515151500701904,0.8045185208320618,0.9538758397102356
10,0.9530864357948303,0.987522304058075,0.5272026062011719,2e-06,0.7454545497894287,0.801407516002655,0.9489325284957886
11,0.9530864357948303,0.9920929670333862,0.5138161182403564,2e-06,0.7454545497894287,0.8014073371887207,0.9574168920516968
12,0.9473251104354858,0.9858051538467407,0.5304529070854187,2e-06,0.739393949508667,0.801111102104187,0.9651997089385986
13,0.9423868060112,0.9863162040710449,0.527191162109375,2e-06,0.739393949508667,0.8006666302680969,0.9578644037246704
14,0.9547325372695923,0.9912223219871521,0.5082433223724365,4e-07,0.7333333492279053,0.8005926012992859,0.9641725420951843
15,0.9588477611541748,0.9915207028388977,0.5047897696495056,4e-07,0.7333333492279053,0.8003703355789185,0.9688298106193542
16,0.9506173133850098,0.9903528094291687,0.5087382197380066,4e-07,0.7333333492279053,0.8008888959884644,0.9750771522521973
17,0.9506173133850098,0.990129292011261,0.5087417960166931,1e-07,0.739393949508667,0.801111102104187,0.9774191379547119
18,0.9497942328453064,0.989503800868988,0.5152232646942139,1e-07,0.739393949508667,0.8016296029090881,0.9783595204353333
19,0.9497942328453064,0.9909170269966125,0.5041924118995667,1e-07,0.739393949508667,0.8009629249572754,0.9796563982963562
20,0.962139904499054,0.993251383304596,0.4967641830444336,1e-07,0.739393949508667,0.8014074563980103,0.9799990653991699
